Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"common.UtilKeyword.takeScreenShot(""unauthen_invalid_search"")",Chrome 131.0.0.0,,,27-11-2024 17:58:42,27-11-2024 17:58:42,0.267s,PASSED
"if (waitForElementVisible(findTestObject(""Object Repository/common/properties/Text/contains_text"", [""text"":""Không tìm thấy kết quả phù hợp!""]), 10))",Chrome 131.0.0.0,"The system shows the message: ""Không tìm thấy kết quả phù hợp!"" when entering invalid search keywords",,27-11-2024 17:58:42,27-11-2024 17:58:42,0.024s,PASSED
delay(5),Chrome 131.0.0.0,Return to Home Page,,27-11-2024 17:58:42,27-11-2024 17:58:47,5.006s,PASSED
"click(findTestObject(""Object Repository/common/properties/Class/rel-script_and_contains_class"", [""rel-script"":""spotlight-search-close"", ""class"":""homepage-search__submit""]))",Chrome 131.0.0.0,,,27-11-2024 17:58:47,27-11-2024 17:58:47,0.055s,PASSED
delay(3),Chrome 131.0.0.0,,,27-11-2024 17:58:47,27-11-2024 17:58:50,3.009s,PASSED
closeBrowser(),Chrome 131.0.0.0,Close browser,,27-11-2024 17:58:50,27-11-2024 17:58:50,0.182s,PASSED
,,,,,,,
Test Cases/COOLMATE-002/TC001-Searching products as an unauthenticated user,Chrome 131.0.0.0,"As an unauthenticated user, entering valid and invalid keys to search related products
",S002; TS001-Search Product; Search Box,27-11-2024 17:58:50,27-11-2024 18:00:03,1m - 12.572s,PASSED
Start listener action : beforeTestCase,Chrome 131.0.0.0,,,27-11-2024 17:58:50,27-11-2024 17:58:50,0.000s,PASSED
common.UtilKeyword.openURL(),Chrome 131.0.0.0,Open Coolmate,,27-11-2024 17:58:50,27-11-2024 17:59:18,27.424s,PASSED
"""==========================As an unauthenticated user,  entering  valid keys to search related products=========================""",Chrome 131.0.0.0,,,27-11-2024 17:59:18,27-11-2024 17:59:18,0.000s,PASSED
"click(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""search-input""]))",Chrome 131.0.0.0,Click on Search box,,27-11-2024 17:59:18,27-11-2024 17:59:18,0.077s,PASSED
delay(4),Chrome 131.0.0.0,,,27-11-2024 17:59:18,27-11-2024 17:59:22,4.015s,PASSED
"sendKeys(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""input-spotlight""]), validSearchKeywords)",Chrome 131.0.0.0,Enter valid search keywords,,27-11-2024 17:59:22,27-11-2024 17:59:22,0.041s,PASSED
delay(10),Chrome 131.0.0.0,,,27-11-2024 17:59:22,27-11-2024 17:59:32,10.006s,PASSED
"common.UtilKeyword.takeScreenShot(""unauthen_valid_search"")",Chrome 131.0.0.0,,,27-11-2024 17:59:32,27-11-2024 17:59:32,0.204s,PASSED
"searchResults = findWebElements(findTestObject(""Object Repository/home_page/product_search_result""), 10)",Chrome 131.0.0.0,Verify that all results match the valid search keywords,,27-11-2024 17:59:32,27-11-2024 17:59:32,0.015s,PASSED
