Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"if (getText(addedProductProperties).contains(selectedProduct.get(""color"") + "" / "" + selectedProduct.get(""size"")))",Chrome 131.0.0.0,,,02-01-2025 21:18:31,02-01-2025 21:18:32,0.047s,PASSED
totalAddedQuantity = 2,Chrome 131.0.0.0,Verify total quantity of added product,,02-01-2025 21:18:32,02-01-2025 21:18:32,0.008s,PASSED
"actualQuantity = getAttribute(findTestObject(""Object Repository/pages/product_detail_page/quantity_product"", [""product-name"":selectedProduct.get(""name""), ""same-product-order"":1]), ""_value"")",Chrome 131.0.0.0,,,02-01-2025 21:18:32,02-01-2025 21:18:32,0.063s,PASSED
if (actualQuantity.equals(totalAddedQuantity)),Chrome 131.0.0.0,,,02-01-2025 21:18:32,02-01-2025 21:18:32,0.189s,PASSED
product.ProductDetail.removeAllProductFromCart(),Chrome 131.0.0.0,Remove all products from cart,,02-01-2025 21:18:32,02-01-2025 21:18:38,6.709s,PASSED
common.UtilKeyword.logOutAndClose(),Chrome 131.0.0.0,Logout and close browser,,02-01-2025 21:18:38,02-01-2025 21:18:47,8.329s,PASSED
,,,,,,,
Test Cases/COOLMATE-004/TC003-Add product to cart from product page with many options,Chrome 131.0.0.0,,,02-01-2025 21:18:47,02-01-2025 21:20:13,1m - 26.462s,PASSED
Start listener action : beforeTestCase,Chrome 131.0.0.0,,,02-01-2025 21:18:47,02-01-2025 21:18:47,0.002s,PASSED
"common.UtilKeyword.openURLAndAuthenticate(username_bao, password_bao)",Chrome 131.0.0.0,Go to Coolmate website and authenticate,,02-01-2025 21:18:47,02-01-2025 21:19:23,35.885s,PASSED
"""=============Add a product with many color and size pairs from the product page and verify added product in cart===================""",Chrome 131.0.0.0,,,02-01-2025 21:19:23,02-01-2025 21:19:23,0.000s,PASSED
"scrollToElement(findTestObject(""Object Repository/pages/home_page/product_section_index"", [""section-pos"":1, ""index"":2]), 10)",Chrome 131.0.0.0,Scroll to the product,,02-01-2025 21:19:23,02-01-2025 21:19:23,0.069s,PASSED
delay(3),Chrome 131.0.0.0,,,02-01-2025 21:19:23,02-01-2025 21:19:26,3.011s,PASSED
selectedFirstOption = new java.util.HashMap(),Chrome 131.0.0.0,Collect the first option that will be added to cart,,02-01-2025 21:19:26,02-01-2025 21:19:26,0.000s,PASSED
"productName = getText(findTestObject(""Object Repository/pages/home_page/product_name_section_index"", [""section-pos"":1, ""index"":2]))",Chrome 131.0.0.0,,,02-01-2025 21:19:26,02-01-2025 21:19:26,0.132s,PASSED
"selectedFirstOption.put(""name"", productName)",Chrome 131.0.0.0,,,02-01-2025 21:19:26,02-01-2025 21:19:26,0.002s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/product_color_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""color-pos"":1]))",Chrome 131.0.0.0,,,02-01-2025 21:19:26,02-01-2025 21:19:26,0.228s,PASSED
"selectedColor = getAttribute(findTestObject(""Object Repository/pages/home_page/product_color_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""color-pos"":1]), ""title"")",Chrome 131.0.0.0,,,02-01-2025 21:19:26,02-01-2025 21:19:27,0.076s,PASSED
"selectedFirstOption.put(""color"", selectedColor)",Chrome 131.0.0.0,,,02-01-2025 21:19:27,02-01-2025 21:19:27,0.002s,PASSED
